Key,Common Name,Scientific Name
SPSA,Spotted Sandgrouse,Pterocles senegallus
BBSA,Black-bellied Sandgrouse,Pterocles orientalis
PASA,Painted Sandgrouse,Pterocles indicus
GIBU,Great Indian Bustard,Ardeotis nigriceps
ASHO,Asian Houbara,Chlamydotis macqueenii
BEFL,Bengal Florican,Houbaropsis bengalensis
LEFL,Lesser Florican,Sypheotides indicus
LIBU,Little Bustard,Tetrax tetrax
ANCO,Andaman Coucal,Centropus andamanensis
GRCO,Greater Coucal,Centropus sinensis
LECO,Lesser Coucal,Centropus bengalensis
SIMA,Sirkeer Malkoha,Taccocua leschenaultii
BFMA,Blue-faced Malkoha,Phaenicophaeus viridirostris
GBMA,Green-billed Malkoha,Phaenicophaeus tristis
CWCU,Chestnut-winged Cuckoo,Clamator coromandus
PICU,Pied Cuckoo,Clamator jacobinus
ASKO,Asian Koel,Eudynamys scolopaceus
AECU,Asian Emerald Cuckoo,Chrysococcyx maculatus
VICU,Violet Cuckoo,Chrysococcyx xanthorhynchus
HBCU,Horsfield's Bronze-Cuckoo,Chalcites basalis
BBCU,Banded Bay Cuckoo,Cacomantis sonneratii
PLCU,Plaintive Cuckoo,Cacomantis merulinus
GBCU,Gray-bellied Cuckoo,Cacomantis passerinus
FTDC,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides
STDC,Square-tailed Drongo-Cuckoo,Surniculus lugubris
LHCU,Large Hawk-Cuckoo,Hierococcyx sparverioides
CHCU,Common Hawk-Cuckoo,Hierococcyx varius
HHCU,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
LECU,Lesser Cuckoo,Cuculus poliocephalus
INCU,Indian Cuckoo,Cuculus micropterus
HICU,Himalayan Cuckoo,Cuculus saturatus
COCU,Common Cuckoo,Cuculus canorus
GENI,Great Eared-Nightjar,Lyncornis macrotis
JUNI,Jungle Nightjar,Caprimulgus indicus
GRNI,Gray Nightjar,Caprimulgus jotaka
EUNI,Eurasian Nightjar,Caprimulgus europaeus
SYNI,Sykes's Nightjar,Caprimulgus mahrattensis
LTNI,Large-tailed Nightjar,Caprimulgus macrurus
ANNI,Andaman Nightjar,Caprimulgus andamanicus
JENI,Jerdon's Nightjar,Caprimulgus atripennis
INNI,Indian Nightjar,Caprimulgus asiaticus
SANI,Savanna Nightjar,Caprimulgus affinis
SLFR,Sri Lanka Frogmouth,Batrachostomus moniliger
HOFR,Hodgson's Frogmouth,Batrachostomus hodgsoni
WRSP,White-rumped Spinetail,Zoonavena sylvatica
WTNE,White-throated Needletail,Hirundapus caudacutus
SBNE,Silver-backed Needletail,Hirundapus cochinchinensis
BBNE,Brown-backed Needletail,Hirundapus giganteus
PTSW,Plume-toed Swiftlet,Collocalia affinis
INSW,Indian Swiftlet,Aerodramus unicolor
HISW,Himalayan Swiftlet,Aerodramus brevirostris
WNSW,White-nest Swiftlet,Aerodramus fuciphagus
ALSW,Alpine Swift,Tachymarptis melba
COSW,Common Swift,Apus apus
PASW,Pacific Swift,Apus pacificus
BLSW,Blyth's Swift,Apus leuconyx
DRSW,Dark-rumped Swift,Apus acuticauda
LISW,Little Swift,Apus affinis
HOSW,House Swift,Apus nipalensis
APSW,Asian Palm Swift,Cypsiurus balasiensis
CRTR,Crested Treeswift,Hemiprocne coronata
WARA,Water Rail,Rallus aquaticus
BCRA,Brown-cheeked Rail,Rallus indicus
COCR,Corn Crake,Crex crex
SBRA,Slaty-breasted Rail,Lewinia striata
SPCR,Spotted Crake,Porzana porzana
EUMO,Eurasian Moorhen,Gallinula chloropus
EUCO,Eurasian Coot,Fulica atra
GHSW,Grey-headed Swamphen,Porphyrio poliocephalus
WBCR,White-browed Crake,Poliolimnas cinereus
WATE,Watercock,Gallicrex cinerea
WBWA,White-breasted Waterhen,Amaurornis phoenicurus
ANCR,Andaman Crake,Rallina canningi
RLCR,Red-legged Crake,Rallina fasciata
SLCR,Slaty-legged Crake,Rallina eurizonoides
RBCR,Ruddy-breasted Crake,Zapornia fusca
BBCR,Band-bellied Crake,Zapornia paykullii
BRCR,Brown Crake,Zapornia akool
LICR,Little Crake,Zapornia parva
BACR,Baillon's Crake,Zapornia pusilla
BTCR,Black-tailed Crake,Zapornia bicolor
MAFI,Masked Finfoot,Heliopais personatus
DECR,Demoiselle Crane,Anthropoides virgo
SICR,Siberian Crane,Leucogeranus leucogeranus
SACR,Sarus Crane,Antigone antigone
COCR,Common Crane,Grus grus
BNCR,Black-necked Crane,Grus nigricollis
GTKN,Great Thick-knee,Esacus recurvirostris
BTKN,Beach Thick-knee,Esacus magnirostris
ITKN,Indian Thick-knee,Burhinus indicus
BWST,Black-winged Stilt,Himantopus himantopus
PIAV,Pied Avocet,Recurvirostra avosetta
IBIS,Ibisbill,Ibidorhyncha struthersii
EUOY,Eurasian Oystercatcher,Haematopus ostralegus
BBPL,Black-bellied Plover,Pluvialis squatarola
EGPL,European Golden-Plover,Pluvialis apricaria
AGPL,American Golden-Plover,Pluvialis dominica
PGPL,Pacific Golden-Plover,Pluvialis fulva
CRPL,Common Ringed Plover,Charadrius hiaticula
LRPL,Little Ringed Plover,Thinornis dubius
LBPL,Long-billed Plover,Thinornis placidus
NOLA,Northern Lapwing,Vanellus vanellus
RILA,River Lapwing,Vanellus duvaucelii
YWLA,Yellow-wattled Lapwing,Vanellus malabaricus
GHLA,Gray-headed Lapwing,Vanellus cinereus
RWLA,Red-wattled Lapwing,Vanellus indicus
SOLA,Sociable Lapwing,Vanellus gregarius
WTLA,White-tailed Lapwing,Vanellus leucurus
CAPL,Caspian Plover,Anarhynchus asiaticus
ORPL,Oriental Plover,Anarhynchus veredus
TSPL,Tibetan Sand-Plover,Anarhynchus atrifrons
GSPL,Greater Sand-Plover,Anarhynchus leschenaultii
KEPL,Kentish Plover,Anarhynchus alexandrinus
GPSN,Greater Painted-Snipe,Rostratula benghalensis
PTJA,Pheasant-tailed Jacana,Hydrophasianus chirurgus
BWJA,Bronze-winged Jacana,Metopidius indicus
WHIM,Whimbrel,Numenius phaeopus
EUCU,Eurasian Curlew,Numenius arquata
BTGO,Bar-tailed Godwit,Limosa lapponica
BTGO,Black-tailed Godwit,Limosa limosa
ASDO,Asian Dowitcher,Limnodromus semipalmatus
LBDO,Long-billed Dowitcher,Limnodromus scolopaceus
JASN,Jack Snipe,Lymnocryptes minimus
EUWO,Eurasian Woodcock,Scolopax rusticola
SOSN,Solitary Snipe,Gallinago solitaria
WOSN,Wood Snipe,Gallinago nemoricola
GRSN,Great Snipe,Gallinago media
SWSN,Swinhoe's Snipe,Gallinago megala
PTSN,Pin-tailed Snipe,Gallinago stenura
COSN,Common Snipe,Gallinago gallinago
REPH,Red Phalarope,Phalaropus fulicarius
RNPH,Red-necked Phalarope,Phalaropus lobatus
TESA,Terek Sandpiper,Xenus cinereus
COSA,Common Sandpiper,Actitis hypoleucos
GRSA,Green Sandpiper,Tringa ochropus
GTTA,Gray-tailed Tattler,Tringa brevipes
MASA,Marsh Sandpiper,Tringa stagnatilis
WOSA,Wood Sandpiper,Tringa glareola
CORE,Common Redshank,Tringa totanus
NOGR,Nordmann's Greenshank,Tringa guttifer
SPRE,Spotted Redshank,Tringa erythropus
COGR,Common Greenshank,Tringa nebularia
RUTU,Ruddy Turnstone,Arenaria interpres
GRKN,Great Knot,Calidris tenuirostris
REKN,Red Knot,Calidris canutus
RUFF,Ruff,Calidris pugnax
BBSA,Broad-billed Sandpiper,Calidris falcinellus
STSA,Sharp-tailed Sandpiper,Calidris acuminata
CUSA,Curlew Sandpiper,Calidris ferruginea
TEST,Temminck's Stint,Calidris temminckii
LTST,Long-toed Stint,Calidris subminuta
RNST,Red-necked Stint,Calidris ruficollis
SBSA,Spoon-billed Sandpiper,Calidris pygmaea
BBSA,Buff-breasted Sandpiper,Calidris subruficollis
SAND,Sanderling,Calidris alba
DUNL,Dunlin,Calidris alpina
LIST,Little Stint,Calidris minuta
PESA,Pectoral Sandpiper,Calidris melanotos
YLBU,Yellow-legged Buttonquail,Turnix tanki
BABU,Barred Buttonquail,Turnix suscitator
SMBU,Small Buttonquail,Turnix sylvaticus
CRPL,Crab-Plover,Dromas ardeola
JECO,Jerdon's Courser,Rhinoptilus bitorquatus
INCO,Indian Courser,Cursorius coromandelicus
CCCO,Cream-colored Courser,Cursorius cursor
SMPR,Small Pratincole,Glareola lactea
COPR,Collared Pratincole,Glareola pratincola
ORPR,Oriental Pratincole,Glareola maldivarum
LTJA,Long-tailed Jaeger,Stercorarius longicaudus
PAJA,Parasitic Jaeger,Stercorarius parasiticus
POJA,Pomarine Jaeger,Stercorarius pomarinus
BRSK,Brown Skua,Stercorarius antarcticus
SPSK,South Polar Skua,Stercorarius maccormicki
LIGU,Little Gull,Hydrocoloeus minutus
BLKI,Black-legged Kittiwake,Rissa tridactyla
SAGU,Sabine's Gull,Xema sabini
SBGU,Slender-billed Gull,Chroicocephalus genei
BHGU,Black-headed Gull,Chroicocephalus ridibundus
BHGU,Brown-headed Gull,Chroicocephalus brunnicephalus
LAGU,Laughing Gull,Leucophaeus atricilla
FRGU,Franklin's Gull,Leucophaeus pipixcan
PAGU,Pallas's Gull,Ichthyaetus ichthyaetus
SOGU,Sooty Gull,Ichthyaetus hemprichii
WEGU,White-eyed Gull,Ichthyaetus leucophthalmus
COGU,Common Gull,Larus canus
CAGU,Caspian Gull,Larus cachinnans
MOGU,Mongolian Gull,Larus mongolicus
LBBG,Lesser Black-backed Gull,Larus fuscus
INSK,Indian Skimmer,Rynchops albicollis
WHTE,White Tern,Gygis alba
BRNO,Brown Noddy,Anous stolidus
LENO,Lesser Noddy,Anous tenuirostris
BLNO,Black Noddy,Anous minutus
SOTE,Sooty Tern,Onychoprion fuscatus
BRTE,Bridled Tern,Onychoprion anaethetus
LITE,Little Tern,Sternula albifrons
SATE,Saunders's Tern,Sternula saundersi
GBTE,Gull-billed Tern,Gelochelidon nilotica
CATE,Caspian Tern,Hydroprogne caspia
WHTE,Whiskered Tern,Chlidonias hybrida
BLTE,Black Tern,Chlidonias niger
WWTE,White-winged Tern,Chlidonias leucopterus
RITE,River Tern,Sterna aurantia
ARTE,Arctic Tern,Sterna paradisaea
COTE,Common Tern,Sterna hirundo
WCTE,White-cheeked Tern,Sterna repressa
BNTE,Black-naped Tern,Sterna sumatrana
ROTE,Roseate Tern,Sterna dougallii
BBTE,Black-bellied Tern,Sterna acuticauda
SATE,Sandwich Tern,Thalasseus sandvicensis
LCTE,Lesser Crested Tern,Thalasseus bengalensis
GCTE,Great Crested Tern,Thalasseus bergii
GRFL,Greater Flamingo,Phoenicopterus roseus
LEFL,Lesser Flamingo,Phoeniconaias minor
LIGR,Little Grebe,Tachybaptus ruficollis
HOGR,Horned Grebe,Podiceps auritus
RNGR,Red-necked Grebe,Podiceps grisegena
GCGR,Great Crested Grebe,Podiceps cristatus
EAGR,Eared Grebe,Podiceps nigricollis
WTTR,White-tailed Tropicbird,Phaethon lepturus
RBTR,Red-billed Tropicbird,Phaethon aethereus
RTTR,Red-tailed Tropicbird,Phaethon rubricauda
RTLO,Red-throated Loon,Gavia stellata
ARLO,Arctic Loon,Gavia arctica
LMAL,Light-mantled Albatross,Phoebetria palpebrata
WSPE,Wilson's Storm-Petrel,Oceanites oceanicus
WFSP,White-faced Storm-Petrel,Pelagodroma marina
BBSP,Black-bellied Storm-Petrel,Fregetta tropica
SSPE,Swinhoe's Storm-Petrel,Hydrobates monorhis
BAPE,Barau's Petrel,Pterodroma baraui
JOPE,Jouanin's Petrel,Bulweria fallax
STSH,Streaked Shearwater,Calonectris leucomelas
COSH,Cory's Shearwater,Calonectris borealis
FFSH,Flesh-footed Shearwater,Ardenna carneipes
WTSH,Wedge-tailed Shearwater,Ardenna pacifica
SOSH,Sooty Shearwater,Ardenna grisea
STSH,Short-tailed Shearwater,Ardenna tenuirostris
TRSH,Tropical Shearwater,Puffinus bailloni
PESH,Persian Shearwater,Puffinus persicus
ASOP,Asian Openbill,Anastomus oscitans
AFOP,African Openbill,Anastomus lamelligerus
BLST,Black Stork,Ciconia nigra
AWNS,Asian Woolly-necked Stork,Ciconia episcopus
WHST,White Stork,Ciconia ciconia
BNST,Black-necked Stork,Ephippiorhynchus asiaticus
LEAD,Lesser Adjutant,Leptoptilos javanicus
GRAD,Greater Adjutant,Leptoptilos dubius
PAST,Painted Stork,Mycteria leucocephala
LEFR,Lesser Frigatebird,Fregata ariel
GRFR,Great Frigatebird,Fregata minor
CIFR,Christmas Island Frigatebird,Fregata andrewsi
RFBO,Red-footed Booby,Sula sula
BRBO,Brown Booby,Sula leucogaster
MABO,Masked Booby,Sula dactylatra
ORDA,Oriental Darter,Anhinga melanogaster
LICO,Little Cormorant,Microcarbo niger
GRCO,Great Cormorant,Phalacrocorax carbo
INCO,Indian Cormorant,Phalacrocorax fuscicollis
GLIB,Glossy Ibis,Plegadis falcinellus
BHIB,Black-headed Ibis,Threskiornis melanocephalus
RNIB,Red-naped Ibis,Pseudibis papillosa
EUSP,Eurasian Spoonbill,Platalea leucorodia
EUBI,Eurasian Bittern,Botaurus stellaris
BLBI,Black Bittern,Botaurus flavicollis
CIBI,Cinnamon Bittern,Botaurus cinnamomeus
LIBI,Little Bittern,Botaurus minutus
YEBI,Yellow Bittern,Botaurus sinensis
BCNH,Black-crowned Night Heron,Nycticorax nycticorax
MNHE,Malayan Night Heron,Gorsachius melanolophus
PRHE,Pacific Reef-Heron,Egretta sacra
CHEG,Chinese Egret,Egretta eulophotes
LIEG,Little Egret,Egretta garzetta
WRHE,Western Reef-Heron,Egretta gularis
WENH,White-eared Night Heron,Oroanassa magnifica
STHE,Striated Heron,Butorides striata
IPHE,Indian Pond-Heron,Ardeola grayii
CPHE,Chinese Pond-Heron,Ardeola bacchus
JPHE,Javan Pond-Heron,Ardeola speciosa
ECEG,Eastern Cattle-Egret,Ardea coromanda
GREG,Great Egret,Ardea alba
MEEG,Medium Egret,Ardea intermedia
GRHE,Gray Heron,Ardea cinerea
PUHE,Purple Heron,Ardea purpurea
WBHE,White-bellied Heron,Ardea insignis
GOHE,Goliath Heron,Ardea goliath
GWPE,Great White Pelican,Pelecanus onocrotalus
SBPE,Spot-billed Pelican,Pelecanus philippensis
DAPE,Dalmatian Pelican,Pelecanus crispus
OSPR,Osprey,Pandion haliaetus
BWKI,Black-winged Kite,Elanus caeruleus
BEVU,Bearded Vulture,Gypaetus barbatus
EGVU,Egyptian Vulture,Neophron percnopterus
JEBA,Jerdon's Baza,Aviceda jerdoni
BLBA,Black Baza,Aviceda leuphotes
EHBU,European Honey-buzzard,Pernis apivorus
OHBU,Oriental Honey-buzzard,Pernis ptilorhynchus
RHVU,Red-headed Vulture,Sarcogyps calvus
CIVU,Cinereous Vulture,Aegypius monachus
HIGR,Himalayan Griffon,Gyps himalayensis
WRVU,White-rumped Vulture,Gyps bengalensis
INVU,Indian Vulture,Gyps indicus
SBVU,Slender-billed Vulture,Gyps tenuirostris
EUGR,Eurasian Griffon,Gyps fulvus
NSEA,Nicobar Serpent-Eagle,Spilornis klossi
CSEA,Crested Serpent-Eagle,Spilornis cheela
ASEA,Andaman Serpent-Eagle,Spilornis elgini
STSE,Short-toed Snake-Eagle,Circaetus gallicus
LHEA,Legge's Hawk-Eagle,Nisaetus kelaarti
MHEA,Mountain Hawk-Eagle,Nisaetus nipalensis
CHEA,Changeable Hawk-Eagle,Nisaetus cirrhatus
RBEA,Rufous-bellied Eagle,Lophotriorchis kienerii
BLEA,Black Eagle,Ictinaetus malaiensis
ISEA,Indian Spotted Eagle,Clanga hastata
GSEA,Greater Spotted Eagle,Clanga clanga
BOEA,Booted Eagle,Hieraaetus pennatus
STEA,Steppe Eagle,Aquila nipalensis
IMEA,Imperial Eagle,Aquila heliaca
TAEA,Tawny Eagle,Aquila rapax
GOEA,Golden Eagle,Aquila chrysaetos
BOEA,Bonelli's Eagle,Aquila fasciata
CRGO,Crested Goshawk,Lophospiza trivirgata
BESR,Besra,Tachyspiza virgata
JASP,Japanese Sparrowhawk,Tachyspiza gularis
SHIK,Shikra,Tachyspiza badia
NISP,Nicobar Sparrowhawk,Tachyspiza butleri
LESP,Levant Sparrowhawk,Tachyspiza brevipes
CHSP,Chinese Sparrowhawk,Tachyspiza soloensis
EUSP,Eurasian Sparrowhawk,Accipiter nisus
EUGO,Eurasian Goshawk,Astur gentilis
WMHA,Western Marsh Harrier,Circus aeruginosus
EMHA,Eastern Marsh Harrier,Circus spilonotus
HEHA,Hen Harrier,Circus cyaneus
PAHA,Pallid Harrier,Circus macrourus
PIHA,Pied Harrier,Circus melanoleucos
MOHA,Montagu's Harrier,Circus pygargus
REKI,Red Kite,Milvus milvus
BLKI,Black Kite,Milvus migrans
BRKI,Brahminy Kite,Haliastur indus
WTEA,White-tailed Eagle,Haliaeetus albicilla
PFEA,Pallas's Fish-Eagle,Haliaeetus leucoryphus
WBSE,White-bellied Sea-Eagle,Icthyophaga leucogaster
LFEA,Lesser Fish-Eagle,Icthyophaga humilis
GHFE,Gray-headed Fish-Eagle,Icthyophaga ichthyaetus
RWBU,Rufous-winged Buzzard,Butastur liventer
WEBU,White-eyed Buzzard,Butastur teesa
GFBU,Gray-faced Buzzard,Butastur indicus
RLHA,Rough-legged Hawk,Buteo lagopus
COBU,Common Buzzard,Buteo buteo
LLBU,Long-legged Buzzard,Buteo rufinus
UPBU,Upland Buzzard,Buteo hemilasius
HIBU,Himalayan Buzzard,Buteo refectus
AGOW,Australasian Grass-Owl,Tyto longimembris
EBOW,Eastern Barn Owl,Tyto javanica
AMOW,Andaman Masked-Owl,Tyto deroepstorffi
OBOW,Oriental Bay-Owl,Phodilus badius
SLBO,Sri Lanka Bay-Owl,Phodilus assimilis
ASOW,Andaman Scops-Owl,Otus balli
MSOW,Mountain Scops-Owl,Otus spilocephalus
ISOW,Indian Scops-Owl,Otus bakkamoena
CSOW,Collared Scops-Owl,Otus lettia
NSOW,Nicobar Scops-Owl,Otus alius
ESOW,Eurasian Scops-Owl,Otus scops
PSOW,Pallid Scops-Owl,Otus brucei
OSOW,Oriental Scops-Owl,Otus sunia
REOW,Rock Eagle-Owl,Bubo bengalensis
EEOW,Eurasian Eagle-Owl,Bubo bubo
BFOW,Buffy Fish-Owl,Ketupa ketupu
BFOW,Brown Fish-Owl,Ketupa zeylonensis
TFOW,Tawny Fish-Owl,Ketupa flavipes
DEOW,Dusky Eagle-Owl,Ketupa coromanda
SBEO,Spot-bellied Eagle-Owl,Ketupa nipalensis
ABOW,Asian Barred Owlet,Glaucidium cuculoides
JUOW,Jungle Owlet,Glaucidium radiatum
COOW,Collared Owlet,Taenioptynx brodiei
SPOW,Spotted Owlet,Athene brama
LIOW,Little Owl,Athene noctua
FOOW,Forest Owlet,Athene blewitti
MWOW,Mottled Wood-Owl,Strix ocellata
BWOW,Brown Wood-Owl,Strix leptogrammica
TAOW,Tawny Owl,Strix aluco
HIOW,Himalayan Owl,Strix nivicolum
LEOW,Long-eared Owl,Asio otus
SEOW,Short-eared Owl,Asio flammeus
BOOW,Boreal Owl,Aegolius funereus
ANBO,Andaman Boobook,Ninox affinis
BRBO,Brown Boobook,Ninox scutulata
HUBO,Hume's Boobook,Ninox obscura
MATR,Malabar Trogon,Harpactes fasciatus
RHTR,Red-headed Trogon,Harpactes erythrocephalus
WATR,Ward's Trogon,Harpactes wardi
EUHO,Eurasian Hoopoe,Upupa epops
GRHO,Great Hornbill,Buceros bicornis
BRHO,Brown Hornbill,Anorrhinus austeni
IGHO,Indian Gray Hornbill,Ocyceros birostris
MGHO,Malabar Gray Hornbill,Ocyceros griseus
MPHO,Malabar Pied-Hornbill,Anthracoceros coronatus
OPHO,Oriental Pied-Hornbill,Anthracoceros albirostris
RNHO,Rufous-necked Hornbill,Aceros nipalensis
WRHO,Wreathed Hornbill,Rhyticeros undulatus
NAHO,Narcondam Hornbill,Rhyticeros narcondami
BBBE,Blue-bearded Bee-eater,Nyctyornis athertoni
AGBE,Asian Green Bee-eater,Merops orientalis
BTBE,Blue-throated Bee-eater,Merops viridis
BCBE,Blue-cheeked Bee-eater,Merops persicus
BTBE,Blue-tailed Bee-eater,Merops philippinus
EBEA,European Bee-eater,Merops apiaster
CHBE,Chestnut-headed Bee-eater,Merops leschenaulti
BLKI,Blyth's Kingfisher,Alcedo hercules
COKI,Common Kingfisher,Alcedo atthis
BEKI,Blue-eared Kingfisher,Alcedo meninting
BBDK,Black-backed Dwarf-Kingfisher,Ceyx erithaca
RBDK,Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa
BWKI,Brown-winged Kingfisher,Pelargopsis amauroptera
SBKI,Stork-billed Kingfisher,Pelargopsis capensis
RUKI,Ruddy Kingfisher,Halcyon coromanda
WTKI,White-throated Kingfisher,Halcyon smyrnensis
BCKI,Black-capped Kingfisher,Halcyon pileata
COKI,Collared Kingfisher,Todiramphus chloris
CRKI,Crested Kingfisher,Megaceryle lugubris
PIKI,Pied Kingfisher,Ceryle rudis
EURO,European Roller,Coracias garrulus
INRO,Indian Roller,Coracias benghalensis
INRO,Indochinese Roller,Coracias affinis
DOLL,Dollarbird,Eurystomus orientalis
MABA,Malabar Barbet,Psilopogon malabaricus
COBA,Coppersmith Barbet,Psilopogon haemacephalus
BEBA,Blue-eared Barbet,Psilopogon cyanotis
GRBA,Great Barbet,Psilopogon virens
LIBA,Lineated Barbet,Psilopogon lineatus
